pair,src_text,mt_text,human_score,fluency2,gemba_score,disagreement,f2_overestimates,issue_type,severity,low_confidence,main_issue,idiomatic,collocational,discourse,pragmatic,calque
EN→cs_CZ,"I am a tweakment holdout. When will wrinkles, bad teeth and big pores be back in fashion?
Totally neutral question, no right or wrong answer: how do you feel about salmon sperm?","Já na kosmetická vylepšení nejsem. Kdy budou vrásky, špatné zuby a velké póry zase v módě?
Zcela neutrální otázka, na kterou neexistuje správná ani špatná odpověď: co si myslíte o lososím spermatu?",92.0,6.05779405747437,62.0,4.651700276915122,True,none,cosmetic,False,The translation is highly natural and effectively captures the conversational tone and specific terminology of the source.,9.0,9.0,9.5,9.0,10.0
EN→zh_CN,"Game 9 of #UniversityChallenge was a hell of a match. Oriel Oxford (530 students) vs Durham (20,000), and Oriel won, which surprised me after some mistakes they made. The captain didn't know Wittengstein's name!? Possibly just nerves. Durham was ahead, then it was tied at 170, then they dropped to 165. A pity. I was rooting for them. Great team, with all four strong, so I hope they make the cut.",#大学挑战赛 第9场真是一场硬仗。牛津大学奥里尔学院（530名学生）对阵杜伦大学（20000名学生），奥里尔学院在犯了一些错误后居然赢了，这让我很惊讶。他们的队长竟然不知道维特根斯坦的名字！？可能是太紧张了吧。杜伦大学一度领先，后来打成170平，接着又被倒扣分到165。真可惜。我本来是支持他们的。这支队伍很棒，四名队员都很强，希望他们能晋级。,86.5,5.917639397604196,100.0,4.630536786022094,True,none,cosmetic,False,"The translation is exceptionally natural and demonstrates a deep understanding of the source context, particularly the scoring mechanics of the quiz show.",9.0,9.0,9.0,9.0,10.0
EN→ar_EG,"🧵 So I was upset to give away my Sodastream and Restaurant sized canister mod for it, because I've been big into fizzy water and making homemade healthy sodas.
TURNS OUT Germany LOVES FIZZY WATER! You actually have to specify Flat sometimes! 😅 
I just like it because when it's overcarbonated and you drink it and it's so intense it hurts... it feels refreshing! 
🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧","🧵 كنت زعلانة إني اضطريت أسيب جهاز الصودا ستريم بتاعي واسطوانة الغاز الكبيرة بتاعته، لأني بحب المياه الغازية وعمل مشروبات صحية في البيت.
وطلع إن ألمانيا بتحب المياه الغازية! لازم تقول ""عادي"" أوقات!
أنا بحبها لما تكون غازية زيادة ولما أشربها تحرقني... بحسها منعشة!",63.0,5.2965534910893926,92.0,4.510712201634373,True,none,cosmetic,False,"The translation is exceptionally natural and captures the specific nuances of Egyptian Arabic social media discourse, especially the idiomatic use of 'تحرقني' for the sting of carbonation.",9.0,9.0,9.0,9.0,9.0
EN→cs_CZ,"I am a tweakment holdout. When will wrinkles, bad teeth and big pores be back in fashion?
Totally neutral question, no right or wrong answer: how do you feel about salmon sperm?","Já na kosmetická vylepšení nejsem. Kdy budou vrásky, špatné zuby a velké póry zase v módě?
Zcela neutrální otázka, na kterou neexistuje správná ani špatná odpověď: co si myslíte o lososím spermatu?",98.0,6.05779405747437,62.0,4.472706248602398,True,none,cosmetic,False,The translation is highly natural and effectively captures the conversational tone and specific terminology of the source.,9.0,9.0,9.5,9.0,10.0
EN→zh_CN,"Game 9 of #UniversityChallenge was a hell of a match. Oriel Oxford (530 students) vs Durham (20,000), and Oriel won, which surprised me after some mistakes they made. The captain didn't know Wittengstein's name!? Possibly just nerves. Durham was ahead, then it was tied at 170, then they dropped to 165. A pity. I was rooting for them. Great team, with all four strong, so I hope they make the cut.",#UniversityChallenge 第9场比赛精彩绝伦。牛津大学奥里尔学院（530名学生）对阵杜伦大学（2万人），奥里尔获胜的结局令我意外——他们明明犯了些低级错误，队长竟连维特根斯坦的名字都答错！？或许是紧张所致。杜伦一度领先，后战至170平，却因失误降至165分，实在可惜。我本看好这支全员实力均衡的队伍，希望他们能晋级。,93.5,5.917639397604196,100.0,4.4217104196572485,True,none,cosmetic,False,"The translation is exceptionally natural, correctly interpreting game mechanics (the score drop) and maintaining a lively, informal commentary tone.",9.0,9.0,9.0,9.0,10.0
EN→uk_UA,"there's a lot of things that are wrong with america. this doesn't clock the 15th percentile. it's just an average sort of excess, another straw on the like last descendant of the great plains buffalo's ailing back. even so, even being as jaded to the way that americans eat as i am, having ordered a one-scoop cup of superman flavor ice cream last night, i find that i have not and could never reach rock bottom. there is a 121st day of sodom, my uncle who works at nintendo told me about it.","В Америці багато що не так. Це не дотягує і до 15-го процентиля. Це просто звичайнісіньке надмірство, ще одна соломинка на, так би мовити, стражденну спину останнього нащадка бізона з Великих рівнин. Та все одно, навіть попри всю мою зневіру в американських харчових звичках, замовивши вчора ріжок морозива зі смаком «Супермен», я розумію, що ще не досяг і ніколи не зможу досягти дна. Існує 121-й день Содому, мені про нього розповів дядько, що працює в Nintendo.",77.5,5.436708150959567,92.0,4.263384650058317,True,none,cosmetic,False,"Excellent translation that perfectly captures the cynical, internet-inflected tone and complex metaphorical subversions of the source.",9.0,9.0,9.5,9.0,9.0
EN→ar_EG,"For those wondering, I still have my hotel room. I played it safe and didn't want to rely on being able to get keys yesterday with luggage in tow",للناس اللي بتسأل، أنا لسه محتفظة بأوضة الفندق. أنا لعبت في المضمون ومكنتش عايزة أعتمد على إني هقدر آخد المفاتيح امبارح وأنا معايا الشنط.,90.0,5.561290070844166,95.0,4.055139402344313,True,none,cosmetic,False,"The translation is highly natural and uses appropriate Egyptian Arabic idioms and structures, particularly the phrase 'لعبت في المضمون'.",9.0,9.0,9.0,9.0,9.5
EN→ar_EG,"This feat would be more impressive if their online remarks and bios didn't flag what might diplomatically be called large gaps in their skill-sets. Musk, a man with the emotional maturity of a cartoon bank robber, is leading a group of men most of whom have no government or management experience whatsoever, let alone expertise in fields governed by the agencies they have been tasked to reform. The whole scene is reminiscent of the 90s boom in management consultancy, during which new graduates stared with frank disbelief at anyone who was over 35 and still breathing. And sure enough, as reported in the New York Times, young engineers have been overheard referring to federal employees as ""dinosaurs,"" who have in turn called the guys in baseball caps ""Muskrats.""","لكان هذا الإنجاز أكثر إبهاراً لو لم تكشف ملاحظاتهم وسيرهم الذاتية المنشورة على الإنترنت عما يمكن وصفه دبلوماسياً بأنه فجوات كبيرة في مهاراتهم. فماسك، وهو رجل لا يتعدى نضجه العاطفي نضج سارق بنوك في أفلام الكرتون، يقود مجموعة من الرجال لا يمتلك معظمهم أي خبرة حكومية أو إدارية على الإطلاق، ناهيك عن الخبرة في المجالات التي تخضع لإشراف الوكالات التي كُلِّفوا بإصلاحها. يذكّر المشهد بأكمله بازدهار الاستشارات الإدارية في التسعينيات، حين كان الخريجون الجدد ينظرون باستغراب صريح إلى أي شخص تجاوز الخامسة والثلاثين وما زال على قيد الحياة. وبالفعل، وكما ورد في صحيفة نيويورك تايمز، سُمع مهندسون شباب وهم يشيرون إلى الموظفين الفيدراليين باسم ""الديناصورات""، والذين بدورهم أطلقوا على الرجال ذوي القبعات الرياضية لقب ""جرذان ماسك"".",0.0,3.4490597847682545,94.0,3.9483310897090034,True,idiom_literal,minor,False,The translation is highly fluent in Modern Standard Arabic but flattens the source's satirical tone and loses the specific wordplay of the 'Muskrats' pun.,8.0,8.0,9.0,7.0,8.0
EN→zh_CN,"🧵 So I was upset to give away my Sodastream and Restaurant sized canister mod for it, because I've been big into fizzy water and making homemade healthy sodas.
TURNS OUT Germany LOVES FIZZY WATER! You actually have to specify Flat sometimes! 😅 
I just like it because when it's overcarbonated and you drink it and it's so intense it hurts... it feels refreshing! 
🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧","🧵 本来很舍不得送走苏打水机和商用气罐，我超爱自制健康汽水。
结果德国人超爱气泡水！有时得特意说要无气的😅
我就喜欢二氧化碳过量时那种刺痛爽感！
🫧*N",82.0,5.2965534910893926,55.0,3.9438977786440796,True,none,cosmetic,False,"The translation is highly natural and captures the informal, enthusiastic tone of the source perfectly.",9.0,9.0,9.0,9.0,9.0
EN→ru_RU,When Remaking a Masterpiece Is Worth the Risk,Когда ремейк шедевра оправдывает риск,81.5,5.26714900138988,92.0,3.9199502568137103,True,none,cosmetic,True,"The translation is natural and uses a strong idiomatic collocation ('оправдывать риск'), though it retains the English 'When...' headline structure.",8.5,9.5,8.5,9.5,9.0
EN→zh_CN,"Because they are everywhere, for everyone. According to researchers at University College London, the UK injectables market will be worth £11.7bn by next year, with Botox and fillers available anywhere from Harley Street to high-street hairdressers. Writing in Grazia last week, the Guardian beauty columnist Sali Hughes described how ""women in teaching, policing and the civil service"" ask her advice on where to get ""good injections."" In the US, Botox use by 20- to 29-year-olds has increased 28% since 2010, with gen Z buying into ""prejuvenation"" (another awful portmanteau), fuelled by the poreless perfection offered by filters, staring at themselves on pandemic screens and social media skinfluencers (argh).",因为它们无处不在，人人皆可获得。根据伦敦大学学院研究人员的说法，到明年，英国的注射美容市场规模将达到117亿英镑，从哈里街的诊所到商业街的美发店，肉毒杆菌和填充剂等产品随处可见。上周，《卫报》的美容专栏作家萨利·休斯在为《Grazia》杂志撰稿时描述道，“从事教学、警务和公务员工作的女性”会向她咨询去哪里打“效果好的针”。在美国，自2010年以来，20至29岁人群中使用肉毒杆菌的比例增加了28%，而Z世代正追捧“预防性抗衰老”（prejuvenation，又一个糟糕的合成词）这一理念。其背后的推手包括滤镜带来的无瑕美肌效果、疫情期间人们凝视屏幕中的自己，以及社交媒体上的“护肤网红”（skinfluencer，呃）。,83.0,5.2965534910893926,94.0,3.9140654405919593,True,none,cosmetic,False,The translation is exceptionally natural and captures the source's journalistic tone and neologisms perfectly.,9.0,9.0,9.0,9.0,9.0
EN→ar_EG,"You can get a folding leaf table, and if you saw off the bottom 15cm or so of the panels forming the sides and front of the table, and also don't bother to attach any of the the back leaf, then it becomes just the right height to mostly fit under the rear window.
It's a little higher than the camper-fridge, but the camper fridge is pretty much the same height as a little bedside cabinet.
There's also a small rectangular sink that fits nicely around the same width as the fridge alongside that cut down table.
And thus, the interior can be mostly constructed in my flat. The kids in the flat upstairs kept waving as me as I was doing a terrible job of cutting down those panels with a jigsaw in the yard.","ممكن تجيب ترابيزة سفرة بتتفتح وتتقفل، ولو قصيت حوالي 15 سم من تحت من الألواح اللي بتكون جوانب ووش الترابيزة، وكمان مركبتش الجزء الخلفي اللي بيتفرد، ساعتها بتبقى بالارتفاع المناسب بالظبط عشان تدخل تحت الشباك الخلفي.
هي أعلى شوية من تلاجة الكامبر، بس تلاجة الكامبر تقريبًا في نفس ارتفاع كومودينو صغير.
فيه كمان حوض مستطيل صغير عرضه مناسب جنب التلاجة والترابيزة اللي اتقصت دي.
وبكده، معظم التجهيزات الداخلية ممكن تتعمل في شقتي. العيال اللي في الشقة اللي فوق كانوا كل شوية يشاورولي وأنا بقص الألواح دي بمنشار أركت في الجنينة وشغلي كان زي الزفت.",75.5,5.119776098223869,92.0,3.904162637568937,True,none,cosmetic,False,"The translation is exceptionally natural and captures the informal Egyptian dialect perfectly, especially with idiomatic expressions like 'زي الزفت'.",9.0,9.0,8.0,9.0,9.0
EN→ru_RU,"For those wondering, I still have my hotel room. I played it safe and didn't want to rely on being able to get keys yesterday with luggage in tow","Для тех, кому интересно: номер в отеле я пока сохранил за собой. Я решил перестраховаться и не стал рассчитывать на то, что вчера мне удалось бы получить ключи, да ещё и с багажом на руках.",60.0,4.663549445808309,100.0,3.7635725736291925,True,none,cosmetic,False,"The translation is highly natural, though the use of the conditional 'удалось бы' is slightly heavy for the casual context.",8.5,9.0,8.0,9.0,9.0
EN→ar_EG,"While Guinness may be at significant risk of losing its edge among, say, people who queue outside bakeries, this hardly matters to its bottom line. It has surpassed cult status, and has in essence become too big to fail. Debra Crew, chief executive of Diageo, the drinks conglomerate that owns the brand, told press this week that demand for the stout in October and November 2024 had surpassed even the amount called for during St Patrick's Day celebrations, noting that the clamour was ""unprecedented."" Crew also stated that Diageo is spending €200m (£170m) on a new Guinness factory in Kildare to keep supplies up to the level now required.","مع إن جينيس ممكن تكون في خطر كبير إنها تفقد جاذبيتها وسط الناس اللي بيقفوا طوابير قدام المخابز، ده مش فارق معاها من ناحية الأرباح. هي عدت مرحلة إنها تكون مجرد موضة، وبقت كبيرة لدرجة إنها صعب تفشل. ديبرا كرو، المديرة التنفيذية لشركة دياچيو المالكة للعلامة التجارية، قالت للصحافة الأسبوع ده إن الطلب على البيرة في أكتوبر ونوفمبر 2024 كان أعلى حتى من الطلب في احتفالات يوم القديس باتريك، وأكدت إن الإقبال كان ""غير مسبوق"". كرو كمان قالت إن دياچيو بتستثمر 200 مليون يورو (170 مليون جنيه إسترليني) في مصنع جديد لجينيس في كيلدير علشان تواكب الطلب الحالي.",90.5,5.2965534910893926,82.0,3.6903229052010538,True,none,cosmetic,False,"The translation is exceptionally natural, successfully adapting business terminology into idiomatic Egyptian Arabic without sounding like a literal translation.",9.0,9.0,9.0,9.0,9.0
EN→ar_EG,"This chair works very well in the van. Should ideally be fastened better to the floor, but it has a nice three mode positions.
Seating, and chaise-long, and flat as a bed with the passenger seat folded down.","الكرسي ده شغال كويس أوي في العربية. المفروض يتثبت في الأرضية بشكل أحسن، بس هو فيه تلات أوضاع حلوين.
وضع الجلوس، ووضع الشيزلونج، ووضع مفرود كسرير لما كرسي الراكب اللي قدام يتطبق.",90.5,5.2965534910893926,92.0,3.6903229052010538,True,none,cosmetic,False,The translation is highly idiomatic and captures the informal tone of a product review perfectly in Egyptian Arabic.,9.0,9.0,9.0,9.0,9.0
EN→zh_CN,"🧵 So I was upset to give away my Sodastream and Restaurant sized canister mod for it, because I've been big into fizzy water and making homemade healthy sodas.
TURNS OUT Germany LOVES FIZZY WATER! You actually have to specify Flat sometimes! 😅 
I just like it because when it's overcarbonated and you drink it and it's so intense it hurts... it feels refreshing! 
🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧","🧵 我之前把我的苏打水机（Sodastream）和配套的餐厅用大号气瓶改装件送人时还挺难过的，因为我一直很喜欢喝气泡水，也喜欢自制健康的苏打水。
结果发现德国人超爱喝气泡水！有时候你还得特意说要不带气的！😅
我就是喜欢那种气打得特别足，喝下去刺激到有点疼的感觉……感觉神清气爽！
🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧🫧",97.5,5.443438475600484,100.0,3.6756333080107906,True,none,cosmetic,False,"The translation is highly natural and captures the informal, enthusiastic tone of the original social media post effectively.",9.0,9.0,9.0,8.0,9.5
EN→ru_RU,When Remaking a Masterpiece Is Worth the Risk,"Когда переосмысление шедевра стоит того, чтобы рискнуть",91.0,5.2965534910893926,85.0,3.6754067361749936,True,none,cosmetic,False,The translation is highly natural and effectively adapts the English headline into a standard Russian journalistic style.,9.0,9.0,9.0,9.0,9.0
EN→ru_RU,"What they are selling isn't poshness itself, which strictly speaking should entail low-comfort, hole-in-the-elbows, bad cooking and draughty houses, but - much like Trump and his performance of ""billionaire"" - a kind of ersatz poshness they imagine might appeal to the peasants. It's a hard one to get right and, with the new brand name, Meghan seems to have changed course in the direction of, say, a Calvin Klein perfume or something a bit more abstract and upmarket. Although for my money she was on to more of a winner with the obscure and personalised brand name The Tig, her first attempt at lifestyle content that had to be shelved when she started dating Harry. As she explained at the time, The Tig was derived from an abbreviation of her favourite wine, tignanello, and had about it the confidence of something genuinely felt rather than a brand name that has been kicked through a comms team.","На самом деле они продают не аристократичность как таковую, которая, строго говоря, должна была бы подразумевать спартанские условия, протертые локти, неважную стряпню и дома со сквозняками, а — во многом как Трамп, играющий роль миллиардера, — некий эрзац-шик, который, по их мнению, может понравиться простолюдинам. В этом трудно найти верный тон, и с новым брендом Меган, похоже, сменила курс в направлении, скажем, парфюма от Calvin Klein или чего-то более абстрактного и элитного. Хотя, по-моему, она была на более выигрышном пути с нераскрученным и личным брендом The Tig — ее первой попыткой создать лайфстайл-контент, которую пришлось свернуть, когда она начала встречаться с Гарри. Как она тогда объясняла, The Tig — это сокращение от названия ее любимого вина Tignanello, и в этом названии чувствовалась уверенность чего-то искреннего, а не бренда, прошедшего через жернова команды по коммуникациям.",82.5,5.102657163812779,92.0,3.6727103055252828,True,none,cosmetic,False,"The translation is exceptionally natural and captures the sophisticated, cynical tone of the original with high-quality idiomatic adaptations.",9.0,9.0,9.0,9.0,8.5
EN→ja_JP,"“Where are the parents?” Kyle asked, the question feeling all too obvious given his own experiences. 
He and Nicole had made it a priority to effectively manage their son’s off-ice behavior throughout his upbringing, committed to ensuring no negative bullet points marred his hockey resume. Any acting out was always nipped in the bud, immediately.
“Mom’s not in the picture; hasn’t been since he was a baby, from what I hear,” Luc replied. “And the dad isn’t very present; he doesn’t show up to any games. Just writes the checks when he needs to.”
“Shit,” was all Kyle could manage in response.","「親はどこにいるんだ？」カイルは尋ねた。自身の経験を思えば、あまりにも当然の問いに感じられた。
彼とニコールは、息子のホッケー経歴に汚点がつくことのないよう、リンク外での振る舞いをきちんと管理することを子育ての最優先事項としてきた。問題行動はどんなものでも、すぐにその芽を摘んできたのだ。
「母親はいないんだ。聞くところによると、赤ん坊の頃からずっと」とリュックは答えた。「父親の方もあまり顔を出さない。試合には一度も来たことがない。必要な時に金を出すだけさ」
「なんてこった」カイルはそう言うのが精一杯だった。",95.0,5.2965534910893926,100.0,3.556077383966511,True,none,cosmetic,False,The translation is highly natural and effectively adapts English idioms into standard Japanese literary expressions.,9.0,9.0,9.0,9.0,9.0
EN→zh_CN,"Game 9 of #UniversityChallenge was a hell of a match. Oriel Oxford (530 students) vs Durham (20,000), and Oriel won, which surprised me after some mistakes they made. The captain didn't know Wittengstein's name!? Possibly just nerves. Durham was ahead, then it was tied at 170, then they dropped to 165. A pity. I was rooting for them. Great team, with all four strong, so I hope they make the cut.",#UniversityChallenge 第9场比赛真是激烈。奥里尔牛津学院（530名学生）对阵杜伦大学（20000名学生），奥里尔获胜，这让我很意外，因为他们犯了一些错误。队长竟然不知道维特根斯坦的名字！？可能只是紧张。杜伦一度领先，然后在170分时打平，接着掉到165分。真可惜。我支持他们。很棒的队伍，四个人都很强，希望他们能晋级。,95.0,5.2965534910893926,100.0,3.556077383966511,True,none,cosmetic,False,The translation is highly natural and captures the informal tone and specific terminology of the competition well.,9.0,9.0,9.0,9.0,9.0
EN→ar_EG,"While Guinness may be at significant risk of losing its edge among, say, people who queue outside bakeries, this hardly matters to its bottom line. It has surpassed cult status, and has in essence become too big to fail. Debra Crew, chief executive of Diageo, the drinks conglomerate that owns the brand, told press this week that demand for the stout in October and November 2024 had surpassed even the amount called for during St Patrick's Day celebrations, noting that the clamour was ""unprecedented."" Crew also stated that Diageo is spending €200m (£170m) on a new Guinness factory in Kildare to keep supplies up to the level now required.",في حين أن غينيس قد تواجه خطرًا كبيرًا بفقدان مكانتها بين من يصطفون أمام المخابز، على سبيل المثال، فإن هذا لا يُؤثر على أرباحها الصافية. لقد تجاوزت مكانتها كعلامة تجارية مرموقة، وأصبحت في جوهرها أكبر من أن تُفلس. صرحت ديبرا كرو، الرئيسة التنفيذية لشركة دياجيو، تكتل المشروبات المالك للعلامة التجارية، للصحافة هذا الأسبوع أن الطلب على البيرة الداكنة في أكتوبر ونوفمبر 2024 قد تجاوز حتى الكمية المطلوبة خلال احتفالات عيد القديس باتريك، مشيرةً إلى أن هذا الإقبال &quot;غير مسبوق&quot;. كما ذكرت كرو أن دياجيو تنفق 200 مليون يورو (170 مليون جنيه إسترليني) على مصنع غينيس جديد في كيلدير للحفاظ على الإمدادات عند المستوى المطلوب حاليًا.,0.0,3.111586338670885,62.0,3.502294997417975,True,idiom_literal,minor,False,"The translation of 'cult status' as 'prestigious status' misses the specific nuance of having a niche, devoted following.",7.5,8.0,8.5,7.0,8.0
EN→zh_CN,"“With what?” Kyle asked, unable to find anything amiss in the details his eyes were scanning on the page.
Luc flipped to the back, where the more personal information was stored, and pointed to the notes section with his finger.
Kyle read the first bullet point: “Off-ice behavior must be addressed if he wants to reach his full potential.”
His eyebrows instinctively raised at that, a knowing look passing between them as he turned to Luc. “Sounds like he’s a bit of a wildcard, huh?”
Luc sighed, shaking his head as he fell deep into thought. “I don’t want to make excuses for him. Hell, I don’t even know him yet. But the kid has been bouncing from boarding school to boarding school for most of his childhood. That can’t be helping, right? I think what he really needs is stability.”","“有什么问题吗？”凯尔问道，目光扫过纸页上的细节，却未发现任何异常。
卢克翻到背面，那里记录着更私人的信息，用手指点了点备注栏。
凯尔读到了第一条：“若想发挥全部潜力，必须解决其场外行为问题。”
他的眉毛条件反射般挑起，与卢克交换了一个心照不宣的眼神。“听起来这小子有点难搞啊？”
卢克叹了口气，摇着头陷入沉思。“我不想替他找借口。说真的，我还不了解他。但这孩子大半个童年都在寄宿学校之间辗转。这种环境肯定没好处，对吧？我觉得他真正需要的是稳定的环境。”",97.5,5.2965534910893926,94.0,3.4814965388362094,True,none,cosmetic,False,The translation is highly natural and effectively captures the shift in register between the formal report text and the informal dialogue.,9.0,9.0,9.0,9.0,9.0
