pair,metric,spearman,tau,pa,n,syntactic_dist,morphology,script,word_order,family
EN→et_EE,fluency2,0.6340017313743351,0.4557624669094984,0.7282884465261514,288,0.195,agglutinative,latin,sov_flexible,uralic
EN→et_EE,gemba_score,0.5086000997256809,0.36820293872621296,0.6826941842310694,288,0.195,agglutinative,latin,sov_flexible,uralic
EN→et_EE,metricx_score,0.32610749859058097,0.21944613880782826,0.6101922326307572,288,0.195,agglutinative,latin,sov_flexible,uralic
EN→et_EE,xcomet_score,0.4018426894535821,0.2735787780088736,0.6373682669789227,288,0.195,agglutinative,latin,sov_flexible,uralic
EN→et_EE,cometKiwi_score,0.29398957407897064,0.20175827465236998,0.6013124512099922,288,0.195,agglutinative,latin,sov_flexible,uralic
EN→et_EE,chrf_pp,0.3040859751136663,0.20826974112718155,0.6045813817330211,288,0.195,agglutinative,latin,sov_flexible,uralic
EN→is_IS,fluency2,0.7952521866851539,0.6009858130953817,0.8008272351256761,252,0.154,fusional_rich,latin,v2,germanic
EN→is_IS,gemba_score,0.7377949593227172,0.5646730040620247,0.7750238625517022,252,0.154,fusional_rich,latin,v2,germanic
EN→is_IS,metricx_score,0.5699599480001781,0.40328804627171866,0.7023226216990137,252,0.154,fusional_rich,latin,v2,germanic
EN→is_IS,xcomet_score,0.478276805935277,0.3333401814624277,0.6672287623289851,252,0.154,fusional_rich,latin,v2,germanic
EN→is_IS,cometKiwi_score,0.4948138845584071,0.3490730513839582,0.675119312758511,252,0.154,fusional_rich,latin,v2,germanic
EN→is_IS,chrf_pp,0.4799611102427117,0.3413334944064311,0.6712376710149539,252,0.154,fusional_rich,latin,v2,germanic
EN→ja_JP,fluency2,0.3311637373359351,0.22901600450500628,0.6152616565020657,288,0.456,agglutinative,cjk_mixed,sov,japonic
EN→ja_JP,gemba_score,0.3769886868996512,0.27729074386223945,0.6334349793429077,288,0.456,agglutinative,cjk_mixed,sov,japonic
EN→ja_JP,metricx_score,0.28653501831243067,0.19371520770433745,0.5976539445209522,288,0.456,agglutinative,cjk_mixed,sov,japonic
EN→ja_JP,xcomet_score,0.2848024091236644,0.19415430526619085,0.5978752705095416,288,0.456,agglutinative,cjk_mixed,sov,japonic
EN→ja_JP,cometKiwi_score,0.19785286417640008,0.1347785571800106,0.5679470784969506,288,0.456,agglutinative,cjk_mixed,sov,japonic
EN→ja_JP,chrf_pp,0.04370717727345943,0.02807784964962755,0.5141648632697225,288,0.456,agglutinative,cjk_mixed,sov,japonic
EN→mas_KE,fluency2,0.23083030043678626,0.19818819558728806,0.5870787549152916,306,0.431,agglutinative,latin,vso,nilo_saharan
EN→mas_KE,gemba_score,0.3891458366557773,0.31418363409592165,0.6964462901032671,306,0.431,agglutinative,latin,vso,nilo_saharan
EN→mas_KE,metricx_score,0.06144049397441685,0.04248227532988903,0.5280952555951637,306,0.431,agglutinative,latin,vso,nilo_saharan
EN→mas_KE,xcomet_score,0.0026077555716789965,0.003058951365140111,0.5020028664878174,306,0.431,agglutinative,latin,vso,nilo_saharan
EN→mas_KE,cometKiwi_score,-0.010996367029823805,-0.0017118902135187782,0.4988791297636985,306,0.431,agglutinative,latin,vso,nilo_saharan
EN→mas_KE,chrf_pp,0.10212393252813194,0.07860663095190323,0.5514681562603359,306,0.431,agglutinative,latin,vso,nilo_saharan
EN→ru_RU,fluency2,0.47264088621998,0.3234684252473589,0.6625568765595186,288,0.183,fusional_rich,cyrillic,free,slavic
EN→ru_RU,gemba_score,0.3530126451870587,0.2567842274108254,0.609716718039043,288,0.183,fusional_rich,cyrillic,free,slavic
EN→ru_RU,metricx_score,0.3795689932053655,0.2585727806633305,0.6299965751749107,288,0.183,fusional_rich,cyrillic,free,slavic
EN→ru_RU,xcomet_score,0.42176722908033804,0.2828048506626882,0.6421791672782425,288,0.183,fusional_rich,cyrillic,free,slavic
EN→ru_RU,cometKiwi_score,0.2598264986388997,0.17743138853641335,0.5892166935760067,288,0.183,fusional_rich,cyrillic,free,slavic
EN→ru_RU,chrf_pp,0.07868847797695314,0.05697118866191593,0.5286706786046284,288,0.183,fusional_rich,cyrillic,free,slavic
EN→sr_Cyrl_RS,fluency2,0.622797381523546,0.4558380255149345,0.7294739590131837,306,0.185,fusional_rich,cyrillic,free,slavic
EN→sr_Cyrl_RS,gemba_score,0.5426757505420001,0.4029631055184547,0.6948396640995519,306,0.185,fusional_rich,cyrillic,free,slavic
EN→sr_Cyrl_RS,metricx_score,0.33482038111542406,0.23082225216212826,0.6162815994430666,306,0.185,fusional_rich,cyrillic,free,slavic
EN→sr_Cyrl_RS,xcomet_score,0.362072729089333,0.2495644144518128,0.6257233607448984,306,0.185,fusional_rich,cyrillic,free,slavic
EN→sr_Cyrl_RS,cometKiwi_score,0.39285067847098565,0.2760366390683487,0.6390593047034765,306,0.185,fusional_rich,cyrillic,free,slavic
EN→sr_Cyrl_RS,chrf_pp,0.5105098352432837,0.35149942677817364,0.676935125962668,306,0.185,fusional_rich,cyrillic,free,slavic
EN→uk_UA,fluency2,0.4218938474772729,0.291998866322193,0.6469886911545543,342,0.153,fusional_rich,cyrillic,free,slavic
EN→uk_UA,gemba_score,0.3790959091814665,0.2829473664759193,0.6274217585692996,342,0.153,fusional_rich,cyrillic,free,slavic
EN→uk_UA,metricx_score,0.3228129421889415,0.2222531191697083,0.6123432979749277,342,0.153,fusional_rich,cyrillic,free,slavic
EN→uk_UA,xcomet_score,0.3545514904414235,0.2493736527096493,0.6260541772595775,342,0.153,fusional_rich,cyrillic,free,slavic
EN→uk_UA,cometKiwi_score,0.275059940384873,0.19436960386777408,0.5982466906285614,342,0.153,fusional_rich,cyrillic,free,slavic
EN→uk_UA,chrf_pp,-0.06343778652419953,-0.04206840061548835,0.4787060576838783,342,0.153,fusional_rich,cyrillic,free,slavic
EN→zh_CN,fluency2,0.350060389223031,0.2389897913263603,0.6206780137853425,270,0.268,isolating,cjk,svo,sino_tibetan
EN→zh_CN,gemba_score,0.3440421552286513,0.24833025177740026,0.613954142636095,270,0.268,isolating,cjk,svo,sino_tibetan
EN→zh_CN,metricx_score,0.3179407541801761,0.21795425843532248,0.6101280067520045,270,0.268,isolating,cjk,svo,sino_tibetan
EN→zh_CN,xcomet_score,0.2919457545154315,0.19819084547375432,0.6001406667604445,270,0.268,isolating,cjk,svo,sino_tibetan
EN→zh_CN,cometKiwi_score,0.23873666293260148,0.16038983871064216,0.5810381206920805,270,0.268,isolating,cjk,svo,sino_tibetan
EN→zh_CN,chrf_pp,0.11244259614783478,0.07641030375031525,0.5386130257420172,270,0.268,isolating,cjk,svo,sino_tibetan
