year,pair,original_text,translation,human_mqm_score,fluency2,gemba_mqm,disagreement,f2_overestimates,issue_type,severity,low_confidence,main_issue
wmt22,en-de,"Click ""Save”",Klicken Sie auf „Speichern“.,-0.0,8.950000000000001,95.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a standard, accurate, and idiomatic rendering of a UI instruction using correct German quotation marks and grammar."
wmt22,en-de,"Click ""Save”",Klicken Sie auf „Speichern“,-0.0,8.950000000000001,100.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a standard, idiomatic, and grammatically correct rendering of a UI instruction in German."
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Нажмите на значок #PRS_ORG# в верхней части экрана.,-0.0,8.950000000000001,95.0,2.6606266894933857,True,none,cosmetic,False,The translation is perfectly idiomatic and follows standard Russian UI localization conventions.
wmt22,en-de,Have a great day,Schönen Tag!,-0.0,8.950000000000001,95.0,2.6606266894933857,True,none,cosmetic,False,The translation is a perfectly natural and idiomatic equivalent for the English greeting.
wmt22,en-de,"Click ""Save”",Klicken Sie auf „Speichern“,-0.0,8.950000000000001,100.0,2.6606266894933857,True,none,cosmetic,False,"The translation is a standard, accurate, and idiomatic rendering of a UI instruction using correct German punctuation."
wmt22,zh-en,2022年叶子《现代电视新闻学》笔记和课后习题（含典型题）详解/硕士研究生考试大纲 辅导教材 复习资料 入学考试试题 考,"2022 Leaf ""Modern Television Journalism"" Notes and After-School Exercises (Including Typical Questions) Detailed Explanation / Master's Degree Examination Syllabus Tutoring Textbook Review Materials Entrance Examination Questions Examination",-15.0,1.4948916794555698,85.0,2.645449978729463,True,calque,major,False,Literal translation of the author's name (Leaf) and school-level terminology (After-School Exercises) for a postgraduate academic context.
wmt22,zh-en,2022年叶子《现代电视新闻学》笔记和课后习题（含典型题）详解/硕士研究生考试大纲 辅导教材 复习资料 入学考试试题 考,"2022 Leaf's Notes on ""Modern Television Journalism"" and after-course exercises (including typical problems) detailed explanations / master's graduate examination outline, guidance materials, review materials, entrance examination questions, and test",-15.0,1.4386510074346854,90.0,2.6163309089724462,True,calque,major,True,"The translation literally renders the author's name ('Leaf' for '叶子') and uses clunky, non-standard academic collocations like 'after-course exercises' and 'typical problems'."
wmt22,en-ru,"I'm sorry but I don't see that you have sign in to your account, unless you have another account.","Извините, но я не вижу, чтобы у вас была возможность авторизоваться в своем аккаунте, если у вас нет другого аккаунта.",-15.0,1.3321785029590927,80.0,2.5612038954851655,True,idiom_literal,major,False,The translation mistreats the state of being signed in as a 'possibility' to sign in and fails the logical connection of the 'unless' clause.
wmt22,en-ru,Free Training on CompTIA A+ | Will Cover Full Course,Бесплатное обучение на CompTIA A+ | Полный курс,-11.0,3.1764053866975703,90.0,2.490796351129808,True,collocation,minor,False,The preposition 'на' is a slight calque of 'on'; 'по' or 'подготовка к' is more conventional for certifications.
wmt22,en-ru,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я житель Среднего Запада и всегда хорошо относился к Пи Джей, поэтому я сказал ей: извини, это отстой, как насчёт нашего проекта?",-13.2,2.002240229907625,90.0,2.4467618360545305,True,idiom_literal,major,False,The translation misses the specific nuance of 'to someone's face' and uses an apology ('извини') instead of an expression of sympathy.
wmt22,en-ru,"I am a Midwesterner, and have always been nice to PJ’s face, so I told her I was sorry, that sucked, what about this project we’re both on?","Я житель Среднего Запада, и всегда был хорош на лице PJ, так что я сказал ей, что мне жаль, что засосало, что с этим проектом мы оба на?",-15.2,1.0119256607130425,70.0,2.4466539145284716,True,calque,critical,False,"The translation is a series of literal calques that result in nonsensical Russian, particularly regarding idioms and sentence structure."
wmt22,en-ru,Step 2: Call Store Manager if they aren't there.,"Шаг 2: Call Store Manager, если их нет.",-15.0,1.0464265343911883,60.0,2.413253467317384,True,calque,critical,False,"The core instruction is left untranslated, and the singular 'they' is incorrectly calqued as the plural 'их' in Russian."
wmt22,en-ru,Step 2: Call Store Manager if they aren't there.,"Шаг 2: Менеджер магазина вызовов, если их нет.",-15.0,1.0119256607130425,60.0,2.3953903566678725,True,calque,critical,False,"The verb 'Call' was mistranslated as a noun, resulting in a nonsensical phrase meaning 'Manager of the store of calls'."
wmt22,en-ru,"Formulated with a Swedish natural ingredient blend of Red Algae, Brown Algae and Aqua Minerals with Vitamin C and Anti-pollution Active.","Сформулирован с использованием шведского натурального ингредиента из красных водорослей, коричневых водорослей и аква-минералов с витамином С и анти-загрязнением.",-14.0,1.236768079104284,80.0,2.2554865757721676,True,calque,major,False,Literal translation of technical terms resulting in unnatural terminology (brown algae as 'коричневые' instead of 'бурые') and ungrammatical phrasing ('анти-загрязнением').
wmt22,en-ru,Tap Repair your account.,Нажмите «Восстановить учетную запись».,-0.0,8.111530995858756,100.0,2.226502477541958,True,none,cosmetic,False,The translation is a standard and accurate rendering of a UI instruction using established localization conventions.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Нажмите на значок #PRS_ORG# в верхней части экрана.,-0.0,8.111530995858756,95.0,2.226502477541958,True,none,cosmetic,False,The translation is a standard and accurate rendering of a UI instruction in Russian.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Нажмите на значок #PRS_ORG# в верхней части экрана.,-0.0,8.111530995858756,95.0,2.226502477541958,True,none,cosmetic,False,The translation is highly natural and follows standard software localization patterns in Russian.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Нажмите на значок #PRS_ORG# в верхней части экрана.,-0.0,8.111530995858756,95.0,2.226502477541958,True,none,cosmetic,False,The translation is highly natural and follows standard software localization patterns in Russian.
wmt22,en-ru,damn.,черт.,-0.0,8.111530995858756,90.0,2.226502477541958,True,none,cosmetic,False,The translation is a standard and natural equivalent for the source interjection.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Нажмите значок #PRS_ORG# в верхней части экрана.,-0.0,8.111530995858756,100.0,2.226502477541958,True,none,cosmetic,False,"The translation is a standard, accurate, and natural rendering of a UI instruction in Russian."
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Нажмите на значок #PRS_ORG# в верхней части экрана.,-0.0,8.111530995858756,95.0,2.226502477541958,True,none,cosmetic,False,The translation is highly natural and follows standard software localization patterns in Russian.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Нажмите на значок #PRS_ORG# в верхней части экрана.,-0.0,8.111530995858756,95.0,2.226502477541958,True,none,cosmetic,False,The translation is highly natural and follows standard software localization patterns in Russian.
wmt22,en-de,To update your payment information please follow these steps:,"Um Ihre Zahlungsinformationen zu aktualisieren, gehen Sie bitte folgendermaßen vor:",-0.0,8.111530995858756,95.0,2.226502477541958,True,none,cosmetic,False,The translation is highly idiomatic and follows standard German business conventions.
wmt22,en-ru,Each vintage leather bag is a totally natural and handmade product therefore the colors and the finish can vary from one piece to the other.,"Каждый старинный кожаный мешок является полностью натуральным и ручной работы продукт, поэтому цвета и отделка может варьироваться от одного куска к другому.",-14.0,1.1444819669206479,80.0,2.207704683385084,True,calque,critical,False,"The translation suffers from severe grammatical errors in case agreement and uses literal, inappropriate word choices like 'мешок' (sack) and 'кусок' (piece/chunk)."
wmt22,en-de,"Click ""Save”","Klicken Sie auf ""Speichern""",-0.1,7.985760645237569,95.0,2.1870156246795434,True,none,cosmetic,False,The translation is accurate and follows standard German software localization conventions.
wmt22,en-de,"Click ""Save”","Klicken Sie auf ""Speichern"".",-0.1,7.985760645237569,95.0,2.1870156246795434,True,none,cosmetic,False,The translation is a standard and grammatically correct rendering of a UI instruction in German.
wmt22,en-ru,My apologies again for the inconvenience this has caused you.,Еще раз прошу прощения за причиненные вам неудобства.,-0.0,7.985760645237569,95.0,2.161383845749244,True,none,cosmetic,False,The translation is highly natural and uses standard Russian business collocations.
wmt22,en-ru,damn.,блин.,-0.0,7.985760645237569,90.0,2.161383845749244,True,none,cosmetic,False,The translation is a highly natural and idiomatic equivalent for the source interjection.
wmt22,en-ru,"Formulated with a Swedish natural ingredient blend of Red Algae, Brown Algae and Aqua Minerals with Vitamin C and Anti-pollution Active.","Насыщен шведской смесью натуральных ингредиентов из красных водорослей, бурых водорослей и минералов Aqua Minerals с витамином C и активным средством против загрязнения.",-12.0,1.9986992765890323,90.0,2.137347131233828,True,collocation,minor,False,"Redundant phrasing in 'минералов Aqua Minerals' and a literal, slightly clunky translation of 'Anti-pollution Active'."
wmt22,en-ru,Tap Repair your account.,Нажмите Восстановить учетную запись.,-2.0,6.940604420099167,95.0,2.1328812065280376,True,none,cosmetic,False,The translation is natural and follows standard Russian software localization conventions.
wmt22,en-ru,Tap Repair your account.,Нажмите Восстановить учетную запись.,-2.0,6.940604420099167,95.0,2.1328812065280376,True,none,cosmetic,False,"The translation is a standard, accurate, and conventional rendering of a UI instruction in Russian."
wmt22,en-ru,Tap Repair your account.,Нажмите Восстановить учетную запись.,-2.0,6.940604420099167,95.0,2.1328812065280376,True,none,cosmetic,False,"The translation is a standard, accurate, and conventional rendering of a UI instruction in Russian."
wmt22,en-ru,My apologies again for the inconvenience this has caused you.,Еще раз приношу извинения за доставленные неудобства.,-0.0,7.922875469926975,95.0,2.1288245298528867,True,none,cosmetic,False,The translation is a perfectly idiomatic and standard professional equivalent for the source phrase.
wmt22,en-de,"Click ""Save”","Klicken Sie auf ""Speichern""",-0.1,7.629411318477539,95.0,2.002512834600186,True,none,cosmetic,False,"The translation is standard and correct, though it uses English-style quotation marks instead of German ones."
wmt22,en-de,To update your payment information please follow these steps:,"Um Ihre Zahlungsinformationen zu aktualisieren, gehen Sie bitte wie folgt vor:",-0.0,7.524602692959883,95.0,1.9226155291759588,True,none,cosmetic,False,The translation is highly idiomatic and correctly uses standard German business phrasing for instructions.
wmt22,en-de,To update your payment information please follow these steps:,"Um Ihre Zahlungsinformationen zu aktualisieren, gehen Sie bitte wie folgt vor:",-0.0,7.524602692959883,95.0,1.9226155291759588,True,none,cosmetic,False,The translation is highly idiomatic and correctly uses standard German business phrasing for instructions.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Коснитесь значка #PRS_ORG# в верхней части экрана.,-0.0,7.488621396435757,95.0,1.9039859174415035,True,none,cosmetic,False,The translation is perfectly idiomatic and follows standard Russian UI localization conventions.
wmt22,en-de,To update your payment information please follow these steps:,Zur Aktualisierung Ihrer Zahlungsinformationen führen Sie bitte die folgenden Schritte aus:,-0.0,7.488621396435757,95.0,1.9039859174415035,True,none,cosmetic,False,The translation is highly natural and adheres perfectly to German business and technical writing conventions.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Нажмите на значок #PRS_ORG# в верхней части экрана.,-0.0,7.488621396435757,95.0,1.9039859174415035,True,none,cosmetic,False,The translation is highly natural and follows standard software localization patterns in Russian.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Коснитесь значка #PRS_ORG# в верхней части экрана.,-0.0,7.488621396435757,95.0,1.9039859174415035,True,none,cosmetic,False,The translation is perfectly idiomatic and follows standard Russian UI localization conventions.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Коснитесь значка #PRS_ORG# в верхней части экрана.,-0.0,7.488621396435757,95.0,1.9039859174415035,True,none,cosmetic,False,The translation is perfectly idiomatic and follows standard Russian UI localization conventions.
wmt22,en-ru,damn.,черт.,-0.0,7.488621396435757,90.0,1.9039859174415035,True,none,cosmetic,False,The translation is a standard and natural equivalent for the source interjection.
wmt22,en-ru,Tap the #PRS_ORG# icon at the top of the screen.,Коснитесь значка #PRS_ORG# в верхней части экрана.,-0.0,7.488621396435757,95.0,1.9039859174415035,True,none,cosmetic,False,The translation is perfectly idiomatic and follows standard Russian UI localization conventions.
wmt22,en-de,You'll see a 'Powered off' screen when your eReader is turned off.,"Wenn Ihr E-Reader ausgeschaltet wird, sehen Sie „Powered off“ (Ausgeschaltet) auf dem Bildschirm.",-6.0,4.510876189464843,90.0,1.900140620705359,True,none,cosmetic,False,"The translation uses the processual passive 'wird' instead of the statal passive 'ist', though it remains perfectly understandable."
wmt22,en-ru,"Formulated with a Swedish natural ingredient blend of Red Algae, Brown Algae and Aqua Minerals with Vitamin C and Anti-pollution Active.","В состав этого средства входит смесь шведских природных ингредиентов, состоящих из красных и бурых водорослей и минеральных вод, витамин С и активное вещество, препятствующее загрязнению окружающей среды.",-12.0,1.4868543974386468,90.0,1.8723352420583719,True,calque,major,False,"The translation misinterprets 'anti-pollution' as environmental protection rather than skin protection, and contains a grammatical agreement error ('смесь... состоящих')."
wmt22,en-ru,Afaik it was just a change of wind that didn't suit everyone.,"Афаик, это была просто смена ветра, которая устраивала не всех.",-12.0,1.3966529585107055,90.0,1.8256327063676419,True,calque,major,True,The translation uses a lazy transliteration of an English acronym and mirrors the English sentence structure exactly.
wmt22,en-de,"Click ""Save”","Klicken Sie auf ""Speichern“",-0.1,7.269414605901121,95.0,1.8161215805640203,True,none,cosmetic,False,"The translation is a standard, accurate rendering of a UI instruction in formal German."
wmt22,en-ru,My apologies again for the inconvenience this has caused you.,Еще раз приносим свои извинения за причиненные вам неудобства.,-0.0,7.269414605901121,90.0,1.790489801633721,True,none,cosmetic,False,"The translation is highly natural and uses standard formal Russian collocations, though it shifts from singular to plural."
wmt22,en-ru,My apologies again for the inconvenience this has caused you.,Еще раз приносим свои извинения за причиненные вам неудобства.,-0.0,7.269414605901121,90.0,1.790489801633721,True,none,cosmetic,False,"The translation is highly natural and uses standard formal Russian collocations, though it shifts from singular to plural."
wmt22,en-ru,Tap Settings.,Нажмите Настройки.,-2.0,6.24644958340615,95.0,1.773476839803393,True,none,cosmetic,False,"The translation is a standard, natural, and accurate rendering for mobile UI localization."
wmt22,en-ru,"Formulated with a Swedish natural ingredient blend of Red Algae, Brown Algae and Aqua Minerals with Vitamin C and Anti-pollution Active.","Насыщен шведской смесью натуральных ингредиентов красных водорослей, бурых водорослей и водных минералов с витамином С и активными антиоксидантами.",-11.0,1.789849668040519,80.0,1.772895742143984,True,calque,major,False,The translation replaces the specific 'Anti-pollution' functional claim with 'antioxidants' and uses the weak collocation 'водных минералов'.
wmt22,en-ru,"Please note that if you pay for expedited shipping, the handling time for the order is still 3 business days.","Обратите внимание, что даже при оплате ускоренной доставки срок обработки заказа по-прежнему составляет 3 рабочих дня.",-0.0,7.159811210633803,95.0,1.7337417437298301,True,none,cosmetic,False,The translation is highly natural and uses standard e-commerce terminology with appropriate register.
wmt22,en-de,To update your payment information please follow these steps:,So aktualisieren Sie Ihre Zahlungsinformationen:,-0.0,7.159811210633803,80.0,1.7337417437298301,True,none,cosmetic,False,The translation is a highly idiomatic and professional adaptation that follows standard German UI/UX patterns.
wmt22,en-ru,Free Training on CompTIA A+ | Will Cover Full Course,Бесплатные тренинги по CompTIA A+,-10.0,2.1509825798351274,70.0,1.7035574833522313,True,discourse_marker,major,False,"The translation completely omits the second part of the source text ('Will Cover Full Course'), failing to convey the full scope of the offer."
wmt22,en-ru,damn.,черт возьми.,-0.0,7.08075907996934,100.0,1.6928118539446497,True,none,cosmetic,False,"The translation is a standard and natural equivalent for the source interjection, though the use of 'ё' (чёрт) would be more precise."
wmt22,en-ru,My apologies again for the inconvenience this has caused you.,Еще раз приносим свои извинения за причиненные вам неудобства.,-0.0,7.08075907996934,90.0,1.6928118539446497,True,none,cosmetic,False,"The translation is a standard, highly idiomatic formal equivalent that correctly uses Russian business etiquette formulas."
wmt22,en-ru,Tap Repair your account.,Нажмите Восстановить учетную запись.,-0.0,6.940604420099167,95.0,1.620245627922048,True,none,cosmetic,False,"The translation is a standard, accurate, and conventional rendering of a UI instruction in Russian."
wmt22,en-ru,Tap Repair your account.,Нажмите Восстановить учетную запись.,-0.0,6.940604420099167,95.0,1.620245627922048,True,none,cosmetic,False,"The translation is a standard, accurate, and conventional rendering of a UI instruction in Russian."
wmt22,en-ru,Tap Repair your account.,Нажмите Восстановить учетную запись.,-0.0,6.940604420099167,95.0,1.620245627922048,True,none,cosmetic,False,"The translation is a standard, accurate, and conventional rendering of a UI instruction in Russian."
wmt22,en-ru,Tap Repair your account.,Нажмите Восстановить учетную запись.,-0.0,6.940604420099167,95.0,1.620245627922048,True,none,cosmetic,False,The translation is natural and follows standard Russian software localization conventions.
wmt22,zh-en,追查不了,I can't trace it.,-0.0,6.940604420099167,90.0,1.620245627922048,True,none,cosmetic,False,The translation is natural and correctly interprets the implied subject and object from the source.
wmt22,en-ru,We treat the poor like crap.,Мы обращаемся с бедными как с дерьмом.,-0.0,6.91306527914109,95.0,1.6059870115543637,True,none,cosmetic,False,The translation is highly natural and uses a standard Russian idiomatic expression that perfectly matches the source register and meaning.
wmt22,en-de,Have a great day,Hab einen schönen Tag,-0.0,6.867535489920954,95.0,1.5824135893194538,True,none,cosmetic,False,The translation is perfectly natural and standard in modern German.
wmt22,en-de,To update your payment information please follow these steps:,"Um Ihre Zahlungsinformationen zu aktualisieren, befolgen Sie bitte diese Schritte:",-0.0,6.867535489920954,95.0,1.5824135893194538,True,none,cosmetic,False,The translation is highly natural and follows standard German conventions for instructional text.
wmt22,en-ru,"Formulated with a Swedish natural ingredient blend of Red Algae, Brown Algae and Aqua Minerals with Vitamin C and Anti-pollution Active.","Разработан на основе шведской смеси натуральных ингредиентов из Красных Водорослей, Бурых Водорослей и Аква-Минералов с витамином С и активными Анти-загрязнителями.",-11.0,1.410820275053514,90.0,1.5766501615390836,True,calque,major,False,"The translation suffers from heavy calquing, including incorrect capitalization and a literal, unidiomatic rendering of 'Anti-pollution Active'."
wmt22,zh-en,"美国总统拜登在发言中表示 ， "" 作为政府的领导人，我们有责任倾听我们的公民，加固民主的护栏，推动改革，实现透明的问责治理，更能抵御专制的缓冲和冲击的力量，以及那些想在公共利益之前赤裸裸地追求权力的人 。 ""","In his speech, President Biden said, “As leaders of the government, we have a responsibility to listen to our citizens, to strengthen our democracy, to drive reform, to transparent accountable governance, to be more resilient to the powers of autocratic buffers and shocks, and to those who want to pursue power naked before the public interest.”",-11.1,1.352079170822725,90.0,1.571868251403482,True,calque,major,False,Literal translation of metaphors and a grammatical breakdown in the parallel infinitive structure.
wmt22,en-ru,I am just wondering how is it for other countries?,"Мне просто интересно, как обстоят дела в других странах?",-0.0,6.837953423305665,95.0,1.5670972314173393,True,none,cosmetic,False,"The translation is highly natural and idiomatic, though the question mark at the end of an indirect question is technically a minor punctuation error in formal Russian."
wmt22,en-ru,"Formulated with a Swedish natural ingredient blend of Red Algae, Brown Algae and Aqua Minerals with Vitamin C and Anti-pollution Active.","Сделана с использованием шведской природной ингредиентной смеси красных, бурых и водных водорослей с витамином С и антизагрязняющим действием.",-11.0,1.3571186237568802,90.0,1.5488456906111228,True,calque,major,False,Mistranslation of 'Aqua Minerals' as 'water algae' and clunky calqued phrasing for 'ingredient blend'.
wmt22,en-ru,"Formulated with a Swedish natural ingredient blend of Red Algae, Brown Algae and Aqua Minerals with Vitamin C and Anti-pollution Active.","Составлен из шведской смеси натуральных ингредиентов из красных водорослей, бурых водорослей и водных минералов с витамином С и активным анти-загрязнением.",-11.0,1.3571186237568802,90.0,1.5488456906111228,True,calque,major,False,Literal translation of 'Anti-pollution Active' and 'Aqua Minerals' results in unnatural terminology and grammatical errors.
wmt22,en-ru,Afaik it was just a change of wind that didn't suit everyone.,"Афаик, это была просто перемена обстановки, которая не всех устроила.",-10.0,1.8475512160112295,90.0,1.5464534031169572,True,calque,major,False,The transliteration of the English acronym 'AFAIK' is unnatural in Russian and should be replaced with a standard phrase or common local equivalent.
wmt22,en-ru,Tap Repair your account.,Нажмите пункт Восстановить аккаунт.,-0.0,6.7759227429157,90.0,1.5349803372827908,True,none,cosmetic,False,"The translation is natural and follows standard Russian UI localization conventions, including the appropriate omission of the possessive pronoun."
wmt22,en-ru,Step 2: Call Store Manager if they aren't there.,"Шаг 2: Вызовите менеджера магазина, если их нет.",-10.0,1.8239238348071942,90.0,1.534220132483199,True,calque,major,False,"The English singular 'they' is incorrectly translated as a plural pronoun in Russian, creating a grammatical mismatch with the singular 'manager'."
wmt22,en-ru,Step 2: Call Store Manager if they aren't there.,"Шаг 2: Позвоните менеджеру магазина, если их там нет.",-10.0,1.7755739375362016,90.0,1.5091865761477445,True,calque,major,False,"The translation uses a plural pronoun 'их' to mirror the English singular 'they', which is grammatically incorrect and unnatural in Russian."
