lp,dataset,doc_id,seg_id,system_id,idiomatic,collocational,discourse,pragmatic,calque,fluency2,fluency3_,confidence,fluency2_raw,fluency2_recalc_g6.25
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_literary_#_rink_rats_chapter2_#_16,1072,Claude Opus 4.5,50.0,40.0,60.0,60.0,40.0,15.36,44.71,0.8,47.0,1.5361586127373206
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_news_#_brisbanetimes.com.au.306576_#_2,1101,Claude Opus 4.5,50.0,60.0,70.0,50.0,50.0,17.14,53.29,0.8,54.60000000000001,1.7140140698084823
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_literary_#_rink_rats_chapter2_#_30,1086,Claude Opus 4.5,50.0,40.0,70.0,70.0,40.0,16.11,44.71,0.8,48.5,1.6107139614500494
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_news_#_guardian.228996_#_8,1116,Claude Opus 4.5,40.0,40.0,60.0,50.0,40.0,14.530000000000001,40.0,0.8,42.400000000000006,1.4532757831764425
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_news_#_guardian.231311_#_0,1132,Claude Opus 4.5,50.0,50.0,70.0,50.0,50.0,16.41,50.0,0.8,51.8,1.6407934922051364
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_news_#_guardian.228996_#_3,1111,Claude Opus 4.5,40.0,40.0,50.0,50.0,40.0,14.299999999999999,40.0,0.8,41.49999999999999,1.4297405975182242
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_social_#_114174389242714730_#_2,1171,Claude Opus 4.5,60.0,50.0,70.0,60.0,50.0,17.61,54.71,0.8,56.400000000000006,1.761084441124919
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_news_#_guardian.229338_#_6,1123,Claude Opus 4.5,50.0,50.0,60.0,40.0,50.0,15.860000000000001,50.0,0.8,50.30000000000001,1.585981377109189
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_social_#_114157282362077575_#_0,1164,Claude Opus 4.5,60.0,60.0,70.0,70.0,50.0,18.64,58.0,0.8,59.800000000000004,1.864127158213356
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_social_#_114174389242714730_#_6,1175,Claude Opus 4.5,40.0,40.0,60.0,50.0,40.0,14.530000000000001,40.0,0.8,42.400000000000006,1.4532757831764425
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_social_#_114300646822630777_#_2,1179,Claude Opus 4.5,40.0,30.0,50.0,40.0,30.0,13.57,34.71,0.8,36.400000000000006,1.3571186237568802
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_speech_#_vid_rU8nY03Lo5s_#_0,1241,Claude Opus 4.5,30.0,30.0,20.0,30.0,20.0,12.31,28.0,0.8,27.400000000000002,1.2309653744984677
EN-et_EE,wmt25_fluency_benchmark,en-et_EE_#_speech_#_vid_Ft41IG2BAG8_#_0,1216,Claude Opus 4.5,60.0,60.0,70.0,70.0,60.0,19.09,60.0,0.8,61.5,1.9085825089011017
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_literary_#_rink_rats_chapter2_#_15,1261,Claude Opus 4.5,40.0,40.0,60.0,50.0,40.0,14.530000000000001,40.0,0.8,42.400000000000006,1.4532757831764425
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_news_#_en.ndtv.com.357237_#_2,1291,Claude Opus 4.5,20.0,20.0,40.0,20.0,20.0,11.57,20.0,0.8,21.8,1.1569905804992549
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_news_#_guardian.229703_#_3,1302,Claude Opus 4.5,50.0,60.0,70.0,70.0,50.0,17.6,53.29,0.8,55.8,1.7595263330657194
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_news_#_newrepublic.com.12619_#_0,1328,Claude Opus 4.5,50.0,50.0,70.0,60.0,40.0,16.279999999999998,48.0,0.8,50.7,1.6279267160170707
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_literary_#_rink_rats_chapter2_#_30,1276,Claude Opus 4.5,50.0,40.0,60.0,60.0,40.0,15.36,44.71,0.8,47.0,1.5361586127373206
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_news_#_guardian.231311_#_5,1314,Claude Opus 4.5,20.0,20.0,40.0,30.0,20.0,11.65,20.0,0.8,22.400000000000002,1.164973664275669
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_news_#_guardian.231311_#_6,1315,Claude Opus 4.5,40.0,40.0,60.0,50.0,40.0,14.530000000000001,40.0,0.8,42.400000000000006,1.4532757831764425
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_news_#_nytimes.154208_#_2,1341,Claude Opus 4.5,50.0,50.0,60.0,50.0,40.0,15.68,48.0,0.8,49.2,1.5675033830172878
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_social_#_114417630342798842_#_14,1405,Claude Opus 4.5,30.0,20.0,40.0,40.0,30.0,12.490000000000002,26.709999999999997,0.8,28.700000000000003,1.2491520358706745
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_speech_#_vid_27keISTaqYw_#_0,1412,Claude Opus 4.5,30.0,40.0,40.0,20.0,30.0,13.09,33.29,0.8,33.10000000000001,1.3089999540207873
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_speech_#_vid_Ft41IG2BAG8_#_0,1418,Claude Opus 4.5,50.0,40.0,60.0,70.0,50.0,15.95,46.71,0.8,49.3,1.5945376521826233
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_social_#_114417630342798842_#_8,1399,Claude Opus 4.5,40.0,40.0,60.0,50.0,40.0,14.530000000000001,40.0,0.8,42.400000000000006,1.4532757831764425
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_speech_#_vid_JoTLTGv8kqA_#_0,1422,Claude Opus 4.5,40.0,40.0,40.0,40.0,30.0,13.81,38.0,0.8,38.3,1.3809159516434142
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_speech_#_vid_M7v3ZfP4fm0_#_0,1425,Claude Opus 4.5,40.0,50.0,40.0,30.0,50.0,14.719999999999999,45.29,0.8,43.900000000000006,1.4717960511407024
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_speech_#_vid_QgTkUWYd82M_#_0,1430,Claude Opus 4.5,30.0,40.0,30.0,40.0,20.0,12.9,31.29,0.8,31.7,1.2901947625711592
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_literary_#_rink_rats_chapter2_#_15,1463,Claude Opus 4.5,60.0,70.0,80.0,60.0,50.0,20.64,61.28999999999999,0.8,62.900000000000006,2.0635917706799556
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_literary_#_rink_rats_chapter2_#_9,1457,Claude Opus 4.5,50.0,40.0,60.0,40.0,50.0,15.389999999999999,46.71,0.8,47.5,1.5389464830570763
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_news_#_brisbanetimes.com.au.306576_#_2,1493,Claude Opus 4.5,50.0,60.0,70.0,60.0,50.0,17.3,53.29,0.8,55.20000000000002,1.7297041935806277
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_news_#_guardian.229703_#_5,1514,Claude Opus 4.5,70.0,70.0,80.0,80.0,70.0,24.81,70.0,0.8,71.50000000000001,2.4812574310864495
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_social_#_114157282362077575_#_1,1565,Claude Opus 4.5,50.0,40.0,70.0,50.0,40.0,15.649999999999999,44.71,0.8,47.3,1.5652016981928123
EN-is_IS,wmt25_fluency_benchmark,en-is_IS_#_speech_#_vid_YTxmx8hyJtA_#_0,1434,Claude Opus 4.5,30.0,20.0,20.0,30.0,20.0,11.94,24.71,0.8,24.6,1.1937109835418684
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_news_#_guardian.230737_#_4,1523,Claude Opus 4.5,50.0,60.0,60.0,70.0,50.0,17.150000000000002,53.29,0.8,54.900000000000006,1.714793123838082
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_news_#_guardian.230737_#_2,1521,Claude Opus 4.5,60.0,70.0,70.0,60.0,70.0,21.02,65.28999999999999,0.8,65.4,2.1024264155541963
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_social_#_114151944720213193_#_2,1559,Claude Opus 4.5,40.0,50.0,50.0,40.0,40.0,14.670000000000002,43.29,0.8,43.7,1.466696585702027
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_news_#_guardian.231311_#_7,1534,Claude Opus 4.5,60.0,60.0,70.0,60.0,50.0,18.34,58.0,0.8,59.2,1.8343050187282646
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_social_#_114220065940975488_#_12,1589,Claude Opus 4.5,60.0,50.0,70.0,60.0,60.0,18.060000000000002,56.71,0.8,58.10000000000001,1.8055397918126646
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_social_#_114417630342798842_#_11,1616,Claude Opus 4.5,60.0,60.0,80.0,60.0,50.0,19.24,58.0,0.8,60.099999999999994,1.9244217864161952
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_social_#_114220065940975488_#_15,1592,Claude Opus 4.5,50.0,50.0,60.0,60.0,50.0,16.12,50.0,0.8,51.5,1.6117504067496446
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_speech_#_vid_2cLeDVfEqG4_#_0,1627,Claude Opus 4.5,60.0,60.0,60.0,70.0,50.0,18.189999999999998,58.0,0.8,58.900000000000006,1.8193939489857187
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_social_#_114417630342798842_#_14,1619,Claude Opus 4.5,60.0,60.0,70.0,60.0,50.0,18.34,58.0,0.8,59.2,1.8343050187282646
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_speech_#_vid_Lb7Dhf7oo4Y_#_0,1639,Claude Opus 4.5,20.0,30.0,30.0,40.0,20.0,11.98,23.290000000000003,0.8,24.900000000000002,1.1980585173727325
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_literary_#_rink_rats_chapter1_#_30,1693,Claude Opus 4.5,70.0,70.0,80.0,70.0,70.0,24.209999999999997,70.0,0.8,70.9,2.4211795859611622
EN-it_IT,wmt25_fluency_benchmark,en-it_IT_#_speech_#_vid_M7v3ZfP4fm0_#_0,1640,Claude Opus 4.5,50.0,60.0,60.0,40.0,50.0,16.59,53.29,0.8,53.10000000000001,1.659201954712535
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_news_#_brisbanetimes.com.au.306576_#_3,1708,Claude Opus 4.5,60.0,60.0,70.0,50.0,60.0,18.63,60.0,0.8,60.3,1.8630702456438646
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_literary_#_rink_rats_chapter1_#_18,1681,Claude Opus 4.5,50.0,60.0,60.0,50.0,50.0,16.69,53.29,0.8,53.70000000000001,1.669280860580845
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_literary_#_rink_rats_chapter1_#_16,1679,Claude Opus 4.5,70.0,70.0,80.0,70.0,70.0,24.209999999999997,70.0,0.8,70.9,2.4211795859611622
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_literary_#_rink_rats_chapter1_#_15,1678,Claude Opus 4.5,50.0,60.0,60.0,50.0,50.0,16.69,53.29,0.8,53.70000000000001,1.669280860580845
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_news_#_guardian.228996_#_7,1718,Claude Opus 4.5,50.0,60.0,60.0,50.0,50.0,16.69,53.29,0.8,53.70000000000001,1.669280860580845
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_news_#_brisbanetimes.com.au.306576_#_0,1705,Claude Opus 4.5,60.0,70.0,60.0,60.0,70.0,20.58,65.28999999999999,0.8,64.50000000000001,2.057693206326559
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_social_#_114157282362077575_#_1,1771,Claude Opus 4.5,50.0,60.0,60.0,40.0,50.0,16.59,53.29,0.8,53.10000000000001,1.659201954712535
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_news_#_guardian.231311_#_1,1729,Claude Opus 4.5,50.0,60.0,60.0,50.0,50.0,16.69,53.29,0.8,53.70000000000001,1.669280860580845
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_news_#_guardian.231311_#_2,1730,Claude Opus 4.5,50.0,60.0,70.0,60.0,50.0,17.3,53.29,0.8,55.20000000000002,1.7297041935806277
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_social_#_114174389242714730_#_3,1778,Claude Opus 4.5,50.0,50.0,60.0,50.0,50.0,15.96,50.0,0.8,50.9,1.596060282977499
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_social_#_114300646822630777_#_3,1786,Claude Opus 4.5,40.0,50.0,60.0,40.0,40.0,14.9,43.29,0.8,44.6,1.4902317713602453
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_news_#_guardian.230737_#_3,1723,Claude Opus 4.5,60.0,50.0,70.0,50.0,50.0,17.450000000000003,54.71,0.8,55.8,1.7453943173527733
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_social_#_114417630342798842_#_15,1810,Claude Opus 4.5,70.0,60.0,80.0,80.0,70.0,23.42,66.71000000000001,0.8,68.7,2.342087446822689
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_speech_#_vid_HjRhgaz1xTI_#_0,1826,Claude Opus 4.5,70.0,70.0,70.0,60.0,80.0,24.71,72.0,0.8,71.10000000000001,2.4714612399764535
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_literary_#_rink_rats_chapter2_#_15,1867,Claude Opus 4.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8,10.0,1.0
EN-ja_JP,wmt25_fluency_benchmark,en-ja_JP_#_speech_#_vid_r-aI0JD0bCE_#_0,1847,Claude Opus 4.5,50.0,50.0,50.0,50.0,40.0,15.440000000000001,48.0,0.8,48.3,1.5439681973590695
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_literary_#_rink_rats_chapter2_#_19,1871,Claude Opus 4.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8,10.0,1.0
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_literary_#_rink_rats_chapter2_#_16,1868,Claude Opus 4.5,10.0,10.0,20.0,20.0,10.0,10.2,10.0,0.8,11.500000000000002,1.019876101188404
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_literary_#_rink_rats_chapter2_#_35,1887,Claude Opus 4.5,20.0,20.0,30.0,20.0,20.0,11.44,20.0,0.8,20.9,1.1444819669206479
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_news_#_guardian.228996_#_2,1897,Claude Opus 4.5,40.0,40.0,50.0,50.0,30.0,14.059999999999999,38.0,0.8,39.8,1.4061132163141892
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_literary_#_rink_rats_chapter2_#_24,1876,Claude Opus 4.5,10.0,10.0,20.0,10.0,20.0,10.34,12.0,0.8,12.600000000000001,1.0344519087265671
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_news_#_nytimes.153341_#_0,1949,Claude Opus 4.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8,10.0,1.0
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_news_#_guardian.230737_#_4,1920,Claude Opus 4.5,40.0,50.0,50.0,50.0,40.0,14.770000000000001,43.29,0.8,44.3,1.476775491570337
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_social_#_114300646822630777_#_10,2001,Claude Opus 4.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8,10.0,1.0
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_news_#_nytimes.153341_#_1,1950,Claude Opus 4.5,20.0,20.0,30.0,20.0,20.0,11.44,20.0,0.8,20.9,1.1444819669206479
EN-mas_KE,wmt25_fluency_benchmark,en-mas_KE_#_speech_#_vid_8qZFupajBuo_#_0,2009,Claude Opus 4.5,40.0,30.0,50.0,40.0,30.0,13.57,34.71,0.8,36.400000000000006,1.3571186237568802
EN-ru_RU,wmt25_fluency_benchmark,en-ru_RU_#_news_#_guardian.229338_#_0,2092,Claude Opus 4.5,80.0,80.0,90.0,80.0,80.0,35.089999999999996,80.0,0.8,80.9,3.5091376298935417
EN-ru_RU,wmt25_fluency_benchmark,en-ru_RU_#_literary_#_rink_rats_chapter2_#_30,2067,Claude Opus 4.5,70.0,70.0,80.0,90.0,70.0,25.990000000000002,70.0,0.8,72.10000000000001,2.5991090263301317
EN-ru_RU,wmt25_fluency_benchmark,en-ru_RU_#_news_#_guardian.231311_#_6,2113,Claude Opus 4.5,60.0,60.0,80.0,70.0,60.0,19.990000000000002,60.0,0.8,62.400000000000006,1.9986992765890323
