seg_id,system_id,original_text,translation,ref_text,human_mqm_score,year,pair,source_lang,target_lang,dataset,lp,doc_id,chrf_pp,fluency_mqm
90,Claude-3.5,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de Brewster Brothers transforman el 100 por ciento de los suelos excavados y los escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado que casi 1,35 millones de toneladas de residuos de construcción, demolición y excavación vayan a vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender a la industria.",,0.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,87.0
90,CommandR-plus,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado ""Hermanos Brewster"" transforman el 100 por ciento de los suelos excavados y escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado que casi 1<v>,</v>35 millones de toneladas de desechos de construcción, demolición y excavación terminen en vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender a la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,60.0
90,Dubformer,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de Brewster Brothers transforman el 100% de los suelos excavados y escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. En los últimos seis años, las instalaciones de la empresa cerca de Livingston, West Lothian, han evitado que casi 1.35 millones de toneladas de residuos de construcción, demolición y excavación fueran a parar a vertederos. Ha producido más de un millón de toneladas de agregados reciclados para vender a la industria.",,0.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,83.0
90,GPT-4,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de Brewster Brothers transforman el 100% de los suelos excavados y escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado que casi 1,35 millones de toneladas de residuos de construcción, demolición y excavación vayan a vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender en la industria.",,0.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,82.0
90,Gemini-1.5-Pro,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de ""Brewster Brothers"" transforman el 100% de los suelos excavados y los escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. En los últimos seis años, las instalaciones de la empresa cerca de Livingston, West Lothian, han evitado que casi 1<v>,</v>35 millones de toneladas de residuos de construcción, demolición y excavación acaben en el vertedero. Ha creado más de un millón de toneladas de agregados reciclados para vender a la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,63.0
90,IKUN,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de Brewster Brothers transforman el 100 % de los suelos y escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. En los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado casi 1<v>,</v>35 millones de toneladas de residuos de construcción, demolición y excavación que van a vertederos. Ha creado más de 1 millón de toneladas de agregados reciclados para vender a la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,59.0
90,IOL_Research,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de ""Brewster Brothers"" transforman el 100% de los suelos y escombros excavados que procesan de la industria de la construcción en agregados de alto valor para su reutilización. En los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado que casi <v>1,35</v> millones de toneladas de desechos de construcción, demolición y excavación terminen en un vertedero. Ha creado más de un millón de toneladas de agregados reciclados para vender a la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,82.0
90,Llama3-70B,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de ""Brewster Brothers"" transforman el 100 por ciento de los suelos excavados y escombros que procesan de la industria de la construcción en agregados de alto valor para reutilizar. En los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado que casi 1<v>,</v>35 millones de toneladas de residuos de construcción, demolición y excavación vayan a vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender a la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,86.0
90,MSLC,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de Brewster Brothers transforman el 100% de los suelos y escombros excavados que procesan desde la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, el emplazamiento de la empresa cerca de Livingston, West Lothian, ha impedido que casi 1<v>,</v>35 millones de toneladas de residuos de construcción, demolición y excavación vayan a vertederos. Ha creado más de un millón de toneladas de agregados reciclados para su venta a la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,64.0
90,Mistral-Large,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado ""Brewster Brothers"" transforman el 100 por ciento de los suelos excavados y escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado que casi 1,35 millones de toneladas de residuos de construcción, demolición y excavación vayan a vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender a la industria.",,0.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,82.0
90,ONLINE-B,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de Brewster Brothers transforman el 100 por ciento de los suelos excavados y los escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado casi 1,35 millones de toneladas de <v>Los</v> residuos de construcción, demolición y excavación van a vertederos. Ha creado más de un millón de toneladas de áridos reciclados para venderlos en la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,52.0
90,ONLINE-W,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de Brewster Brothers transforman el 100% de las tierras excavadas y los escombros que procesan de la industria de la construcción en áridos de alto valor para su reutilización. En los últimos seis años, las instalaciones de la empresa cerca de Livingston (West Lothian) han evitado que casi 1<v>,</v>35 millones de toneladas de residuos de construcción, demolición y excavación fueran a parar a vertederos. Además, ha generado más de un millón de toneladas de áridos reciclados para vender a la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,69.0
