seg_id,system_id,original_text,translation,ref_text,human_mqm_score,year,pair,source_lang,target_lang,dataset,lp,doc_id,chrf_pp,low_confidence,max_score_diff,idiomatic,collocational,discourse,pragmatic,calque,issue_type,severity,problematic_phrase,suggested_fix,main_issue,fluency2_raw
90,Dubformer,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen von Brewster Brothers wandeln 100 Prozent des von ihnen aufbereiteten Bodenaushubs und Schutts aus der Bauindustrie in hochwertige Zuschlagstoffe für die Wiederverwendung um. In den vergangenen sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landeten. Dabei wurden mehr als eine Million Tonnen rezyklierte Zuschlagstoffe erzeugt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,6.0,5.0,6.5,6.5,6.5,collocation,major,rezyklierte Zuschlagstoffe erzeugt,mehr als eine Million Tonnen rezyklierte Gesteinskörnungen hergestellt,"Key terminology and collocations for construction materials sound non-native (e.g., Zuschlagstoffe/erzeugen), reducing naturalness.",5.880000000000001
90,GPT-4,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der <v>""</v>Brewster Brothers"" verwandeln 100 Prozent der von ihnen verarbeiteten Aushub- und Schuttböden aus der Baubranche in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat das Unternehmen auf seinem Gelände in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle vor der Deponierung bewahrt. Es hat mehr als eine Million Tonnen recycelter Zuschlagstoffe erzeugt, die in der Branche verkauft werden können.",,-2.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,True,2.0,4.5,4.0,5.5,6.0,4.5,collocation,major,Aushub- und Schuttböden,Aushubmaterial und Bauschutt,"Nonstandard collocations and calqued phrasing (e.g., “Aushub- und Schuttböden”) make the text sound unnatural.",4.54
90,Gemini-1.5-Pro,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Aufbereitungsanlagen von Brewster Brothers verwandeln 100 Prozent der ausgehobenen Böden und des Bauschutts aus der Bauindustrie in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landen. Es wurden mehr als eine Million Tonnen recycelte Zuschlagstoffe für den Verkauf an die Industrie erzeugt.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,True,2.0,6.5,5.5,5.5,6.5,7.0,collocation,major,erzeugt,hergestellt,"Several collocational and slightly literal choices (e.g., 'ausgehobenen Böden', 'erzeugt', 'an die Industrie') reduce idiomaticity and polish.",6.215000000000001
90,IKUN,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der Brewster Brothers verwandeln 100 Prozent der abgebauten Böden und Bauschutte, die sie aus der Baubranche verarbeiten, in hochwertige Baustoffe für die Wiederverwendung. In den letzten sechs Jahren hat die Firma auf ihrem Gelände in Livingston, West Lothian fast 1,35 Millionen Tonnen Bau-, Abbruch- und Grabungsabfälle verhindert, die sonst auf Deponien entsorgt worden wären. Die Firma hat mehr als eine Million Tonnen recycelte Baustoffe hergestellt, die sie an die Industrie verkauft.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,4.0,3.0,4.5,4.5,3.5,collocation,major,abgebauten Böden und Bauschutte,ausgehobenen Böden (oder: Aushubböden) und Bauschutt,"Key technical collocations and mass-noun usage are off, leading to non-native and partly inaccurate phrasing.",3.7100000000000004
90,IOL_Research,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der <v>""</v>Brewster Brothers"" verwandeln 100 % der ausgehobenen Böden und Trümmer, die sie aus der Baubranche verarbeiten, in hochwertige Aggregatsstoffe für die Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Ausgrabungsschutt verhindert, der auf Mülldeponien gelangt wäre. Es hat mehr als eine Million Tonnen recycelter Aggregatsstoffe für den Verkauf an die Branche hergestellt.",,-2.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,4.0,3.0,4.0,4.0,3.5,collocation,major,Aggregatsstoffe,"„Gesteinskörnungen/Zuschlagstoffe“ statt „Aggregatsstoffe“; „Boden- und Bauschutt“ statt „ausgehobene Böden und Trümmer“; „Aushubabfälle“ statt „Ausgrabungsschutt“; „hat verhindert, dass … auf Deponien landeten“; „Der Standort hat … erzeugt“; „zum Verkauf in die Bauwirtschaft“.",Stark englisch geprägte Terminologie und Phrasierung führen zu unüblichen Fachwortwahlen und holprigem Deutsch.,3.6350000000000002
90,Llama3-70B,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die <v>""</v>Brewster Brothers""-Waschanlagen verwandeln 100 Prozent der ausgehobenen Böden und Schutt, die sie aus der Bauindustrie verarbeiten, in hochwertige Zuschlagstoffe für die Wiederverwendung. In den letzten sechs Jahren hat der Standort des Unternehmens nahe Livingston, West Lothian fast 1,35 Millionen Tonnen Abfälle aus Bau, Abriss und Ausgrabungen daran gehindert, auf Deponien zu gelangen. Es hat mehr als eine Million Tonnen recycelter Zuschlagstoffe für den Verkauf in die Industrie erstellt.",,-2.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,4.0,3.0,5.0,4.5,3.5,collocation,major,für den Verkauf in die Industrie erstellt,"…mehr als eine Million Tonnen recycelter Zuschlagstoffe produziert, zum Verkauf an die Industrie.",Unidiomatic collocations and calqued phrasing make the text sound non-native.,3.755000000000001
90,MSLC,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","<v>Brewster Brothers wandeln 100 % der ausgegrabenen Böden um und drücken sie von der Bauindustrie in hochwertige Aggregate für die Weiterverwendung</v>. In den letzten sechs Jahren hat West Lothian nahe Livingston fast 1,35 Millionen Tonnen Bau-, Abbruch- und Grabungsabfälle auf Deponien verhindert. Es hat mehr als eine Million Tonnen recycelter Aggregate für den Verkauf in die Industrie geschaffen.",,-5.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,2.5,2.0,2.5,2.5,2.0,false_friend,critical,drücken sie von der Bauindustrie,"die sie aus der Bauwirtschaft verarbeiten, in","A false-friend choice and mirrored structure (e.g., 'drücken' for 'process') lead to distorted meaning and highly non-idiomatic phrasing.",2.275
90,Mistral-Large,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Aufbereitungsanlagen der „Brewster Brothers“ wandeln 100 Prozent der Böden und Trümmer, die sie aus der Bauindustrie verarbeiten, in hochwertige Aggregate für die Wiederverwendung um. In den letzten sechs Jahren hat das Unternehmen auf seiner Baustelle in der Nähe von Livingston, West Lothian, fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle davon abgehalten, auf Deponien zu landen. Es wurden mehr als eine Million Tonnen recycelter Aggregate hergestellt, die in die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,True,2.0,4.0,3.0,5.0,5.0,4.0,false_friend,major,recycelter Aggregate,"Aggregate → Gesteinskörnungen; außerdem: Baustelle → Standort, Trümmer → Bauschutt, Böden → Aushubböden, in die Industrie verkauft → an die Branche verkauft","Key domain terms are mistranslated (notably 'aggregates'), causing a false-friend error and several non-idiomatic collocations.",3.8700000000000006
90,ONLINE-B,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen von Brewster Brothers wandeln 100 Prozent der ausgehobenen Erde und des Bauschutts, die sie aus der Bauindustrie verarbeiten, in hochwertige Zuschlagstoffe zur Wiederverwendung um. In den letzten sechs Jahren hat das Unternehmen an seinem Standort in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landeten. Es wurden mehr als eine Million Tonnen recycelter Zuschlagstoffe erzeugt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,6.0,5.0,6.0,6.0,5.5,calque,major,die sie aus der Bauindustrie verarbeiten,… der aus der Bauwirtschaft stammenden Böden und des Bauschutts … / … die sie aus der Bauwirtschaft annehmen und aufbereiten …,Over-literal mirroring of the English relative clause produces an unnatural structure in German.,5.635000000000002
90,ONLINE-W,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen von Brewster Brothers wandeln 100 Prozent des von ihnen aufbereiteten Bodenaushubs und Schutts aus der Bauindustrie in hochwertige Zuschlagstoffe für die Wiederverwendung um. In den vergangenen sechs Jahren hat der Standort des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen Bau-, Abbruch- und Aushubabfälle auf Deponien landeten. Dabei wurden mehr als eine Million Tonnen rezyklierte Zuschlagstoffe erzeugt, die an die Industrie verkauft werden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,6.5,5.5,6.5,6.5,7.5,collocation,minor,auf Deponien landeten,auf Deponien deponiert wurden,"Several collocations are non-idiomatic for the technical register, reducing naturalness.",6.390000000000001
90,Unbabel-Tower70B,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der „Brewster Brothers“ verwandeln 100 Prozent des ausgegrabenen Bodens und Schutts aus der Bauindustrie in hochwertige Zuschlagstoffe zur Wiederverwendung. In den letzten sechs Jahren hat die Firma an ihrem Standort in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen an Bau-, Abriss- und Aushubabfällen auf Deponien landeten. Sie hat über eine Million Tonnen recycelter Zuschlagstoffe hergestellt, die an die Industrie verkauft wurden.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,6.0,5.0,6.0,5.5,7.0,collocation,major,ausgegrabenen Bodens,ausgehobenen Bodens (oder: Aushubmaterial),Mehrere fachlich unübliche Kollokationen und leicht holprige Formulierungen mindern die Natürlichkeit.,5.860000000000001
90,refA,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Die Waschanlagen der Brewster Brothers wandeln 100 Prozent des ausgegrabenen Bauschutts, den sie von der Baubranche erhalten, in hochwertige Aggregate um, die wieder neu genutzt werden können. In den letzten sechs Jahren hat das Werk des Unternehmens in der Nähe von Livingston, West Lothian, verhindert, dass fast 1,35 Millionen Tonnen an Bau-, Abriss- und Grabungsschutt auf einer Müllhalde landen. Es wurden mehr als eine Million Tonnen recycelter Aggregate erschaffen, um sie in der Branche zu verkaufen.",,0.0,wmt24,en-de,en,de,wmt24_mqm_tsv,en-de,,,False,1.0,4.0,3.0,5.0,4.0,4.5,false_friend,major,recycelter Aggregate,Aggregate -> Gesteinskörnungen; 'erschaffen' -> 'hergestellt'; 'Müllhalde' -> 'Deponie'; 'von der Baubranche erhalten' -> 'aus der Baubranche verarbeiten'.,"False-friend 'Aggregate' plus register and collocation slips yield a non-native, technically off tone.",3.895000000000001
90,Aya23,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado Brewster Brothers transforman el 100% de los suelos y escombros excavados que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, la empresa ha evitado que casi 1<v>,</v>35 millones de toneladas de residuos de construcción, demolición y excavación sean enviados a vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender en la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,False,1.0,4.5,3.5,4.5,5.5,4.5,collocation,major,que procesan de la industria de la construcción,procedentes de la industria de la construcción,"Unnatural collocations and overly literal phrasing reduce sector-appropriate, native-sounding Spanish.",4.28
90,Claude-3.5,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado de Brewster Brothers transforman el 100 por ciento de los suelos excavados y los escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado que casi 1,35 millones de toneladas de residuos de construcción, demolición y excavación vayan a vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender a la industria.",,0.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,True,2.0,6.0,5.5,6.0,7.0,5.0,collocation,major,el sitio de la empresa,"las instalaciones (o la planta) de la empresa cerca de Livingston, en West Lothian","Uso de colocaciones poco naturales y calcos leves del inglés que restan naturalidad (p. ej., «sitio» por «planta/instalaciones», «crear» por «producir», y «que procesan de» por «procedentes de»).",5.75
90,CommandR-plus,"Brewster Brothers"" wash plants transform 100 per cent of the excavated soils and rubble they process from the construction industry into high-value aggregates for reuse. Over the past six years, the firm's site near Livingston, West Lothian has prevented almost 1.35 million tonnes of construction, demolition and excavation waste going to landfill. It has created more than one million tonnes of recycled aggregates to sell into the industry.","Las plantas de lavado ""Hermanos Brewster"" transforman el 100 por ciento de los suelos excavados y escombros que procesan de la industria de la construcción en agregados de alto valor para su reutilización. Durante los últimos seis años, el sitio de la empresa cerca de Livingston, West Lothian, ha evitado que casi 1<v>,</v>35 millones de toneladas de desechos de construcción, demolición y excavación terminen en vertederos. Ha creado más de un millón de toneladas de agregados reciclados para vender a la industria.",,-1.0,wmt24,en-es,en,es,wmt24_mqm_tsv,en-es,,,False,1.0,5.0,4.5,6.5,5.0,4.0,collocation,major,que procesan de la industria de la construcción,procedentes de la industria de la construcción,"Varios calcos y elecciones collocacionales poco naturales (p. ej., sitio, procesan de, ha creado) restan naturalidad y adecuación terminológica.",4.825
